,trial_date,customer_name,utm,display_price,company_id
0,2015-11-01,David Gross,google,11,101.0
1,2016-08-11,Dawn Allen,organic,9,102.0
2,2016-09-20,Randy Wood,google,9,103.0
3,2017-03-12,Michael Kemp,organic,25,104.0
4,2017-03-28,Emily Washington,linkedin,44,
5,2017-03-28,Kevin Cook DDS,linkedin,31,
6,2017-03-28,Paul Foster,email_footer,47,
7,2017-03-28,David Scott,email_footer,42,
8,2017-03-28,Kathleen Wilson,facebook,47,
9,2017-03-28,Antonio Brown,email_footer,45,
10,2017-03-29,Pamela Hill,google,20,
11,2017-03-29,Robert Brown,facebook,47,
12,2017-03-29,Crystal Rice,email_footer,46,
13,2017-03-29,Randall Castro Jr.,google,32,
14,2017-03-30,Brittany Thomas,linkedin,19,
15,2017-03-30,Tyler Anderson,linkedin,49,
16,2017-03-30,Nichole Martinez,google,41,
17,2017-03-30,Jessica Fernandez,organic,25,
18,2017-03-30,Leslie Gray,linkedin,34,
19,2017-03-30,Katherine Ferguson,linkedin,37,
20,2017-03-31,Daniel Wilkerson,google,21,
21,2017-03-31,Christopher Vargas,linkedin,33,
22,2017-03-31,Bradley Martin,facebook,39,
23,2017-03-31,Jerry Logan,organic,24,
24,2017-03-31,Dawn Horton,linkedin,16,
25,2017-03-31,Cheryl Cole,email_footer,27,
26,2017-04-01,Daniel Lloyd,facebook,14,
27,2017-04-01,Tara Roberts,facebook,41,
28,2017-04-01,Kenneth Hull,facebook,21,
29,2017-04-01,Patrick Young,linkedin,21,
30,2017-04-01,Amber Chan,google,44,
31,2017-04-02,Keith Mitchell,organic,36,
32,2017-04-02,Joel Lyons,email_footer,45,
33,2017-04-02,Tara Meyer,facebook,30,
34,2017-04-02,Justin Smith,linkedin,24,
35,2017-04-03,Karina Martinez,organic,27,
36,2017-04-03,Drew Lane,organic,40,
37,2017-04-03,Megan Ramos,organic,36,
38,2017-04-03,David Baker,email_footer,25,
39,2017-04-03,Joshua Howard,facebook,17,
40,2017-04-04,Sarah Brown,email_footer,31,
41,2017-04-04,Kimberly Campbell,google,34,
42,2017-04-04,Lisa Boyle,organic,25,
43,2017-04-04,Steve Henderson,linkedin,20,
44,2017-04-04,Sheena Romero,google,48,
45,2017-04-04,Kirk Buckley,email_footer,45,
46,2017-04-04,Nicole Hernandez,google,31,
47,2017-04-04,Samantha Hebert,email_footer,16,
48,2017-04-04,Philip Kelly,google,35,
49,2017-04-05,Julie Bowers,organic,26,
50,2017-04-05,Amy Chen,facebook,40,
51,2017-04-05,Steven Mccann,email_footer,39,
52,2017-04-05,Paul Garcia,linkedin,32,
53,2017-04-05,John Hanna,facebook,17,
54,2017-04-05,Richard West,google,48,
55,2017-04-05,Sara Lee,email_footer,11,
56,2017-04-06,Douglas Torres,facebook,17,
57,2017-04-06,Michael Fletcher,facebook,39,
58,2017-04-06,Carrie Morris,email_footer,13,
